ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"12-FEB-2024","PEL","Piramal Enterprises Ltd.","EAST BRIDGE CAPITAL MASTER FUND I LIMITED","BUY","9,28,000","883.25","-"
"12-FEB-2024","PEL","Piramal Enterprises Ltd.","EAST BRIDGE CAPITAL MASTER FUND I LIMITED","BUY","9,28,000","883.25","-"
"12-FEB-2024","PEL","Piramal Enterprises Ltd.","EAST BRIDGE CAPITAL MASTER FUND LIMITED","SELL","9,28,000","883.25","-"
"12-FEB-2024","PEL","Piramal Enterprises Ltd.","EAST BRIDGE CAPITAL MASTER FUND LIMITED","SELL","9,28,000","883.25","-"
"14-FEB-2024","BAJAJFINSV","Bajaj Finserv Limited","BACHHRAJ & CO PRIVATE LIMITED","BUY","14,26,965","1,582.00","-"
"14-FEB-2024","BAJAJFINSV","Bajaj Finserv Limited","DEEPA BAJAJ","SELL","1,24,125","1,582.00","-"
"14-FEB-2024","BAJAJFINSV","Bajaj Finserv Limited","RAJIVNAYAN BAJAJ","SELL","3,20,590","1,582.00","-"
"14-FEB-2024","BAJAJFINSV","Bajaj Finserv Limited","RISHAB FAMILY TRUST","SELL","9,82,250","1,582.00","-"
"14-FEB-2024","JSL","Jindal Stainless Limited","ELM PARK FUND LIMITED","SELL","29,00,000","575.35","-"
"14-FEB-2024","JSL","Jindal Stainless Limited","JSL OVERSEAS HOLDING LIMITED","BUY","29,00,000","575.35","-"
"20-FEB-2024","JINDALSAW","Jindal Saw Limited","COPTHALL MAURITIUS INVESTMENT LIMITED","BUY","3,50,000","521.00","-"
"20-FEB-2024","JINDALSAW","Jindal Saw Limited","ERISKA INVESTMENT FUND LTD","SELL","23,50,000","521.00","-"
"20-FEB-2024","JINDALSAW","Jindal Saw Limited","NIPPON INDIA MUTUAL FUND - SMALL CAP FUND","BUY","12,00,000","521.00","-"
"20-FEB-2024","JINDALSAW","Jindal Saw Limited","SAMCO MUTUAL FUND(ACTIVE MOMENTUM FUND)","BUY","3,00,000","521.00","-"
"20-FEB-2024","JINDALSAW","Jindal Saw Limited","SAMCO MUTUAL FUND(DYNAMIC ASSET ALLOCATION FUND)","BUY","2,50,000","521.00","-"
"20-FEB-2024","JINDALSAW","Jindal Saw Limited","SOCIETE GENERALE","BUY","2,50,000","521.00","-"
"20-FEB-2024","JSL","Jindal Stainless Limited","ELM PARK FUND LIMITED","SELL","11,30,000","640.00","-"
"20-FEB-2024","JSL","Jindal Stainless Limited","JSL OVERSEAS HOLDING LIMITED","BUY","11,30,000","640.00","-"
"20-FEB-2024","TFCILTD","Tourism Finance Corp","ADITYA KUMAR HALWASIYA","BUY","1,18,02,094","209.75","-"
"20-FEB-2024","TFCILTD","Tourism Finance Corp","KOPPARA SAJEEVE THOMAS","SELL","34,44,133","209.75","-"
"20-FEB-2024","TFCILTD","Tourism Finance Corp","PRANSATREE HOLDINGS PTE. LIMITED","SELL","42,56,100","209.75","-"
"20-FEB-2024","TFCILTD","Tourism Finance Corp","VARANIUM CAPITAL ADVISORS PRIVATE LIMITED","SELL","10,04,400","209.75","-"
"20-FEB-2024","TFCILTD","Tourism Finance Corp","VARANIUM INDIA OPPORTUNITY LTD","SELL","30,97,461","209.75","-"
"21-FEB-2024","CAMPUS","Campus Activewear Limited","QRG INVESTMENTS AND HOLDINGS LIMITED","SELL","40,65,000","245.00","-"
"21-FEB-2024","CAMPUS","Campus Activewear Limited","SBI MUTUAL FUND","BUY","40,65,000","245.00","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","AXIS MUTUAL FUND","BUY","30,00,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","BANDHAN MUTUAL FUND","BUY","3,57,142","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","BANDHAN MUTUAL FUND","BUY","10,71,429","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","BANDHAN MUTUAL FUND.","BUY","10,71,429","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD","BUY","9,60,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","COPTHALL MAURITIUS INVESTMENT LIMITED","BUY","20,00,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","EMPLOYEES PROVIDENT FUND","BUY","38,00,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","FRANKLIN TEMPLETON MUTUAL FUND","BUY","50,00,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","GHISALLO MASTER FUND LP","BUY","22,23,330","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","GOLDMAN SACHS (SINGAPORE) PTE","BUY","10,00,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO","BUY","18,51,955","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","GOVERNMENT OF SINGAPORE","BUY","44,43,479","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","GS INDIA EQUITY","BUY","63,066","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","HDFC MUTUAL FUND","BUY","7,50,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","HDFC STANDARD LIFE INSURANCE COMPANY LIMITED","BUY","28,00,000","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","MEDIOLANUM BEST BRANDS- MEDIOLANUM INDIA OPPORTUNITIES","BUY","84,979","164.10","-"
"21-FEB-2024","DEVYANI","Devyani International Ltd","MONETARY AUTHORITY OF SINGAPORE","BUY","5,56,521","164.10","-"
